filename,name,type,tags
대만.png,대만,나라 별,"타이베이,샹산"
대한민국.png,대한민국,나라 별,"서울,남산"
독일.png,독일,나라 별,"로텐부르크,마르크트광장"
미국.png,미국,나라 별,"뉴욕,브루클린브리지"
싱가포르.png,싱가포르,나라 별,"싱가포르,마리나베이샌즈"
아랍에미리트.png,아랍에미리트,나라 별,"두바이,부르즈할리파"
영국.png,영국,나라 별,"런던,빅벤"
일본.png,일본,나라 별,"시즈오카,후지산"
중국.png,중국,나라 별,"상하이,와이탄"
캐나다.png,캐나다,나라 별,"밴프,레이크루이스"
프랑스.png,프랑스,나라 별,"파리,에펠탑"
하와이.png,하와이,나라 별,"호놀룰루,와이키키"
홍콩.png,홍콩,나라 별,"침사추이,빅토리아하버"
A Day with MCM - Milano.png,A Day with MCM - Milano,큐레이션룸,"밀라노,시티룩"
MCM X ATEEZ with MINGI - FIX ON.png,MCM X ATEEZ with MINGI - FIX ON,큐레이션룸,"에이티즈,민기"
MCM x DJ Khaled x We The Best.png,MCM x DJ Khaled x We The Best,큐레이션룸,"DJ칼리드,컬래버"
Pina collection.png,Pina collection,큐레이션룸,"피나,스터드"
The pink edit .png,The pink edit,큐레이션룸,"핑크,파스텔"
